bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,udps.srcdst_packet_size_variation,udps.srcdst_udp_packet_count,udps.udp_packet_count,udps.srcdst_tcp_packet_count,udps.tcp_packet_count,udps.srcdst_ack_packet_count,udps.ack_packet_count,udps.srcdst_fin_packet_count,udps.fin_packet_count,udps.srcdst_rst_packet_count,udps.rst_packet_count,udps.srcdst_psh_packet_count,udps.psh_packet_count,udps.srcdst_syn_packet_count,udps.syn_packet_count,udps.srcdst_unique_ports_count,udps.srcdst_icmp_packet_count,udps.icmp_packet_count,udps.srcdst_http_ports_count,udps.http_ports_count,udps.srcdst_bidirectional_duration_avg,udps.bidirectional_duration_avg,udps.srcdst_dns_port_count,udps.dns_port_count,udps.srcdst_dns_port_src_count,udps.dns_port_src_count,udps.srcdst_vul_ports_count,udps.src2dst_packet_count,udps.bidirectional_packet_count,udps.srcdst_src2dst_packet_count,udps.srcdst_bidirectional_packet_count
0,2,120,0,1,60,0,1,60,60,60,0,60,60,60,0,60,60,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,350,350,350,350,0,0,350,350,0,0,350,350,350,0,0,0,0,0.057142857,0.057142857,0,0,0,0,1,350,700,350,700
3002,3,222,3002,3,222,0,0,0,74,74,0,74,74,74,0,74,0,0,0,0,998,1501,711.3494218736668,2004,998,1501,711.3494218736668,2004,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.72391992003231,0,0,350,350,88,264,0,8,0,0,43,143,1045,1047,2,0,0,350,348,2938.96,2929.782857142857,0,0,0,0,350,1168,1290,1088,1116
9319,28,2165,9319,11,859,9319,17,1306,60,77.32142857142858,12.669746910356446,100,66,78.09090909090911,9.267734841,93,60,76.82352941176471,14.714938388070331,100,0,345.1481481481482,965.1909218747944,3448,0,931.9,1472.6052084655953,3492,0,582.4375,1211.356538,3448,2,0,0,0,25,14,2,2,1,0,0,0,10,7,0,1,1,0,0,0,15,7,2,1,19.704060495238032,0,0,350,350,8751,9701,701,745,701,657,4900,5390,700,744,1,0,0,0,0,9094.46,8556.737142857142,0,0,0,0,350,4409,10730,3851,9802
1,5,349,1,3,186,0,2,163,60,69.8,15.498387012847497,97,60,62,3.4641016151377544,66,66,81.5,21.920310216782973,97,0,0.25,0.5,1,0,0.5,0.7071067811865476,1,0,0,0,0,0,0,0,0,3,1,2,2,0,0,0,0,1,0,2,1,0,0,0,0,2,1,0,1,16.740669042783207,0,1,119,349,5999,1527,211,407,198,140,3171,373,0,0,104,0,0,0,0,811,545.6742857142857,0,0,0,0,0,947,1641,4343,6197
4874,58,13682,4873,29,11942,4874,29,1740,60,235.89655172413788,242.9768373665949,804,84,411.7931034482758,236.84343522226192,804,60,60,0,60,0,85.50877192982458,536.3542979760612,4053,0,174.03571428571428,765.5194548241643,4069,1,174.07142857142858,762.0329014269284,4053,0,0,0,0,58,29,0,0,0,0,0,0,29,29,0,0,0,0,0,0,29,0,0,0,368.1738719681233,0,0,29,32,5035,5054,0,0,15,18,2510,2516,23,29,1,0,0,0,0,3158.103448275862,2908.78125,0,0,0,0,0,2544,5076,2531,5054
0,1,253,0,1,253,0,0,0,253,253,0,253,253,253,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,146.06961810497532,0,0,350,350,736,1124,98,126,29,29,445,642,38,66,1,0,0,350,343,177.32857142857142,185.9028571428572,0,0,0,0,350,715,1186,502,784
4913,204,33800,4897,102,27680,4912,102,6120,60,165.68627450980392,186.96017754597585,927,72,271.37254901960785,218.38942062509096,927,60,60,0,60,0,24.20197044334976,126.78446509788782,1385,0,48.48514851485148,177.9297397211262,1386,0,48.63366336633661,176.92669232042277,1385,0,0,0,0,204,102,0,0,0,0,0,0,102,102,0,0,0,0,0,0,102,0,0,0,431.5370784,0,0,32,35,5397,5416,0,0,15,18,2691,2697,23,29,1,0,0,0,0,3271.96875,3034.2571428571428,0,0,0,0,0,2725,5438,2712,5416
1,3,214,1,2,140,0,1,74,66,71.33333333333333,4.618802153517004,74,66,70,5.656854249492381,74,74,74,0,74,0,0.5,0.7071067811865476,1,1,1,0,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,4,0,1,350,349,1983,2754,302,338,0,0,808,1244,302,338,1,0,0,350,337,739.1,744.5828571428572,0,0,0,0,350,1786,2925,1410,2134
1,3,214,1,2,140,0,1,74,66,71.33333333333333,4.618802153517004,74,66,70,5.656854249492381,74,74,74,0,74,0,0.5,0.7071067811865476,1,1,1,0,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,4,0,0,350,350,1971,2997,300,344,0,0,792,1376,306,350,1,0,0,350,336,723.7514285714286,744.6428571428571,0,0,0,0,350,1903,3172,1409,2124
4964,58,15603,4963,29,13863,4963,29,1740,60,269.0172413793103,425.82207351664016,1514,60,478.0344827586206,527.8520140801519,1514,60,60,0,60,0,87.08771929824559,506.7891319974975,3775,0,177.24999999999997,718.6688118397174,3776,0,177.25,718.4741354658031,3775,0,0,0,0,58,29,0,0,0,0,0,0,29,29,0,0,0,0,0,0,29,0,0,0,727,0,0,84,116,12417,18520,0,0,17,44,6206,6405,25,59,1,0,0,0,0,3106.654761904762,2409.0689655172414,0,0,0,0,0,10274,18569,6229,12437
12363,57,8531,12363,23,3534,12363,34,4997,66,149.6666666666667,185.38235905182307,1042,66,153.65217391304344,136.11713161019287,706,66,146.9705882352941,214.3563282769388,1042,0,220.7678571428572,621.0489657483882,2446,0,561.9545454545455,935.3881535680777,2501,0,374.6363636363636,777.0451972931585,2446,2,0,0,0,56,31,0,2,1,0,0,0,22,16,0,1,1,0,0,0,34,15,0,1,486.2482219333386,0,6,350,344,13021,19506,703,1083,400,4,7300,10414,704,1066,3,0,0,1,0,10538.12,5572.442857142857,0,0,0,0,350,9414,20065,5516,13773
0,1,74,0,1,74,0,0,0,74,74,0,74,74,74,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.72391992003231,0,0,350,350,44,44,0,0,0,0,36,36,346,346,2,0,0,350,350,73.28,73.28,0,0,0,0,350,382,386,382,386
1787,14,12437,1787,8,500,662,6,11937,60,888.3571428571429,1471.1178171268716,4434,60,62.5,5.0990195135927845,74,60,1989.5,1755.154893449578,4434,0,137.46153846153848,345.8797034096815,1119,0,255.28571428571428,452.5828521886773,1119,0,132.4,292.1528709,655,2,0,0,0,13,2,1,1,1,0,0,0,7,1,1,0,1,0,0,0,6,1,0,1,2184.676635111018,0,0,350,350,6503,6503,649,649,531,531,1075,1075,1062,1062,350,0,0,350,350,54075.502857142856,54075.502857142856,0,0,0,0,350,4196,7034,4196,7034
0,4,482,0,2,160,0,2,322,80,120.5,46.76537180435969,161,80,80,0,80,161,161,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.76537180435969,350,347,0,3,0,74,0,10,0,2,0,32,0,12,9,0,0,0,0,306.86571428571426,572.8457142857143,348,344,0,0,348,814,1556,732,1448
12288,55,8399,12288,22,3468,12288,33,4931,66,152.70909090909092,188.07117178495395,1042,66,157.63636363636363,137.9408242532681,706,66,149.42424242424244,217.19447367264988,1042,0,227.55555555555551,632.6993881167188,2441,0,585.1428571428572,953.2355053,2514,0,384.0000000000001,788.9778605994777,2441,2,0,0,0,54,31,0,2,1,0,0,0,21,16,0,1,1,0,0,0,33,15,0,1,486.2482219333386,0,5,350,345,16901,19020,709,845,158,14,9492,10424,704,838,3,0,0,1,0,11631.674285714284,9505.125714285714,0,0,0,0,350,8404,19471,7049,17411
0,2,120,0,1,60,0,1,60,60,60,0,60,60,60,0,60,60,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,350,350,418,418,12,12,345,345,13,13,363,363,350,0,0,6,6,67.4,67.4,1,1,0,0,18,397,773,397,773
231,3,260,231,2,160,0,1,100,60,86.66666666666667,23.09401076758504,100,60,80,28.284271247461906,100,100,100,0,100,35,115.5,113.84419177103416,196,231,231,0,231,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,20,0,0,2,2,21,21,0,0,0,0,12,12,2,2,1,0,0,2,2,255,255,0,0,0,0,2,12,22,12,22
424,15,13351,424,9,1352,417,6,11999,66,890.0666666666667,1609.9336928079042,5858,66,150.22222222222223,164.87630043291378,441,66,1999.8333333333333,2179.592477199962,5858,0,30.28571428571429,74.46984786984757,209,0,53,95.09393851795782,211,0,83.4,114.20070052324547,209,2,0,0,0,14,3,1,1,1,0,0,0,8,2,1,0,1,0,0,0,6,1,0,1,2839.009026051168,0,0,350,350,4488,4488,347,347,349,349,747,747,749,749,2,0,0,350,350,413.4457142857143,413.4457142857143,0,0,0,0,350,2975,4896,2975,4896
1998,6,588,1998,3,294,1998,3,294,98,98,0,98,98,98,0,98,98,98,0,98,0,399.6,547.1748349476609,999,999,999,0,999,999,999,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,134,341,6054,1366,234,421,222,159,3186,302,9,9,117,8,8,1,1,886.5140845070423,312.2657142857143,0,0,0,0,1,892,1564,4418,6336
0,1,253,0,1,253,0,0,0,253,253,0,253,253,253,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,146.06961810497532,0,0,350,350,730,1118,107,135,35,35,450,647,40,68,1,0,0,350,343,186.6428571428572,195.2142857142857,0,0,0,0,350,723,1187,510,785
0,2,134,0,1,74,0,1,60,60,67,9.899494936611664,74,74,74,0,74,60,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8.082903768654761,0,0,350,350,354,354,0,0,350,350,0,0,352,352,350,0,0,0,0,0.031428571,0.031428571,0,0,0,0,3,354,704,354,704
1061,6,374,1061,3,194,1060,3,180,60,62.33333333333333,2.9439202887759484,66,62,64.66666666666667,2.309401076758505,66,60,60,0,60,0,212.2,289.6561755,531,529,530.5,2.1213203435596424,532,529,530,1.4142135623730951,531,3,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2.8284271247461903,0,0,233,350,2544,4108,440,614,39,129,456,646,479,743,1,0,0,233,350,148.36051502145924,212.42,0,0,0,0,233,2192,4544,1387,2803
12260,55,8399,12260,22,3468,12259,33,4931,66,152.70909090909092,188.07117178495395,1042,66,157.63636363636363,137.9408242532681,706,66,149.42424242424244,217.19447367264988,1042,0,227.03703703703704,627.4309693056961,2564,0,583.8095238095239,945.6475886,2618,0,383.09375,781.9374349765728,2564,2,0,0,0,54,31,0,2,1,0,0,0,21,16,0,1,1,0,0,0,33,15,0,1,486.2482219333386,0,0,350,350,19165,18563,707,757,0,22,10937,10463,705,766,3,0,0,0,0,12621.68857142857,11158.148571428572,0,0,0,0,350,7822,18964,7856,19517
0,5,349,0,3,186,0,2,163,60,69.8,15.498387012847497,97,60,62,3.4641016151377544,66,66,81.5,21.920310216782973,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0,0,0,0,1,0,2,1,0,0,0,0,2,1,0,1,16.740669042783207,0,0,99,350,5923,1553,171,381,160,104,3142,378,0,0,84,0,0,0,0,968.4747474747476,778.1028571428571,0,0,0,0,0,935,1623,4278,6083
12041,55,8399,12041,22,3468,12040,33,4931,66,152.70909090909092,188.07117178495395,1042,66,157.63636363636363,137.9408242532681,706,66,149.42424242424244,217.19447367264988,1042,0,222.9814814814815,614.4809280777954,2227,0,573.3809523809523,922.3506099195944,2281,0,376.25000000000006,765.5814994225399,2227,2,0,0,0,54,31,0,2,1,0,0,0,21,16,0,1,1,0,0,0,33,15,0,1,486.2482219333386,0,0,350,350,18893,18712,704,776,0,10,10850,10567,700,774,3,0,0,0,0,12098.917142857144,10786.42857142857,0,0,0,0,350,7901,19105,7708,19243
1,5,349,1,3,186,0,2,163,60,69.8,15.498387012847497,97,60,62,3.4641016151377544,66,66,81.5,21.920310216782973,97,0,0.25,0.5,1,0,0.5,0.7071067811865476,1,0,0,0,0,0,0,0,0,3,1,2,2,0,0,0,0,1,0,2,1,0,0,0,0,2,1,0,1,16.740669042783207,0,1,130,349,6038,1513,231,417,216,156,3182,369,4,4,114,0,0,0,0,779.2230769,471.9142857142857,0,0,0,0,0,949,1647,4378,6256
1025,6,374,1024,3,194,1025,3,180,60,62.33333333333333,2.9439202887759484,66,62,64.66666666666667,2.309401076758505,66,60,60,0,60,0,205,280.25524080737546,514,510,512,2.8284271247461903,514,510,512.5,3.5355339059327378,515,3,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2.8284271247461903,0,0,203,350,2272,1050,302,0,156,1050,318,0,458,1050,1,0,0,203,350,337.6847290640394,1012.3628571428573,0,0,0,0,203,1050,2100,1210,2579
0,2,120,0,1,60,0,1,60,60,60,0,60,60,60,0,60,60,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,350,350,350,350,0,0,350,350,0,0,350,350,350,0,0,0,0,0.048571429,0.048571429,0,0,0,0,0,350,700,350,700
0,1,253,0,1,253,0,0,0,253,253,0,253,253,253,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,146.06961810497532,0,0,350,350,747,1135,142,170,37,37,480,677,52,80,1,0,0,350,343,242.61714285714285,251.19142857142856,0,0,0,0,350,771,1212,558,810
0,2,120,0,1,60,0,1,60,60,60,0,60,60,60,0,60,60,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,350,350,350,350,0,0,350,350,0,0,355,355,350,0,0,3,3,0.045714286,0.045714286,1,1,0,0,13,355,705,355,705
75092,24,24652,75092,15,940,73541,9,23712,60,1027.1666666666663,2335.977714803369,8814,60,62.66666666666666,5.052109413285654,74,60,2634.6666666666665,3322.1876452121123,8814,0,3264.8695652173915,13533.216053656306,64989,0,5363.714285714286,17257.475563800308,64989,0,9192.625,25274.94669,71726,4,0,0,0,22,4,2,2,2,0,0,0,13,2,2,0,2,0,0,0,9,2,0,2,4374.671645,0,0,350,350,9169,9169,939,939,725,725,1481,1481,1450,1450,350,0,0,350,350,79233.37714285715,79233.37714285715,0,0,0,0,350,5881,9894,5881,9894
4894,24,20004,4894,16,4928,4889,8,15076,66,833.5,788.3020829054327,1934,66,307.99999999999994,260.59316951908005,651,1836,1884.5,51.85143612834102,1934,0,212.78260869565213,390.6232731187125,1042,3,326.26666666666665,447.3364771729708,1042,247,698.4285714285714,412.2001363184544,1045,0,0,0,0,24,16,0,0,0,0,0,0,16,8,0,0,0,0,0,0,8,8,0,0,913.9870076,0,1,350,349,2020,3250,300,356,0,0,836,1534,300,356,1,0,0,350,331,764.2942857142857,778.6685714285715,0,0,0,0,350,2036,3430,1435,2170
0,4,260,0,2,130,0,2,130,65,65,0,65,65,65,0,65,65,65,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,350,18,0,3112,0,34,0,46,0,1996,0,72,0,5,0,0,0,0,15318.557142857142,63.91142857142857,312,347,0,0,312,724,1428,2712,4486
171,14,4947,171,8,2103,121,6,2844,60,353.35714285714283,327.53640012461733,1101,60,262.875,219.70658192884696,521,60,474,425.1870176757517,1101,0,13.153846153846157,19.217379954293776,55,1,24.428571428571427,22.09718792710317,58,2,24.2,22.297981971469973,60,2,0,0,0,13,8,0,0,1,0,0,0,7,4,0,0,1,0,0,0,6,4,0,0,494.0313755218387,0,0,350,350,653,20942,2,1434,284,0,381,10832,126,1390,2,0,0,350,4,119.13428571428572,608.22,0,0,0,0,350,10996,21637,549,1000
9619,28,2158,9619,11,852,9619,17,1306,60,77.07142857142858,12.415428190072912,100,66,77.45454545454545,8.335030130283108,89,60,76.82352941176471,14.714938388070331,100,0,356.25925925925924,1016.059530077332,3571,0,961.9,1557.7578937548528,3615,0,601.1874999999999,1277.654372603692,3571,2,0,0,0,25,14,2,2,1,0,0,0,10,7,0,1,1,0,0,0,15,7,2,1,18.89223826513594,0,0,350,350,8751,9807,701,743,701,659,4900,5492,700,742,1,0,0,0,0,9119.857142857143,8649.562857142857,0,0,0,0,350,4433,10837,3851,9802
4735,254,43588,4719,127,35968,4734,127,7620,60,171.6062992125984,225.89369837185745,1325,60,283.21259842519686,278.12095204605515,1325,60,60,0,60,0,18.715415019762844,107.9327301867288,1047,0,37.45238095238094,153.7083788031274,1048,0,37.57142857142856,151.08442294671832,1048,0,0,0,0,254,127,0,0,0,0,0,0,127,127,0,0,0,0,0,0,127,0,0,0,632.5,0,0,49,52,8340,8359,0,0,15,18,4164,4170,23,29,1,0,0,0,0,3397.061224489796,3229.846153846154,0,0,0,0,0,4198,8381,4185,8359
